"Booking ID",Date,Location,Description,"Sub total",Tax,Total
72391337,14/May/2024,"Barker Drive, NW1 0JF","Payment for booking #72391337",£47.84,Free,£47.84
72740634,22/May/2024,"Barker Drive, NW1 0JF","Payment for booking #72740634",£12.01,Free,£12.01
72466368,16/May/2024,"Barker Drive, NW1 0JF","Payment for booking #72466368",£47.79,Free,£47.79
72310367,11/May/2024,"Barker Drive, NW1 0JF","Payment for booking #72310367",£47.84,Free,£47.84
70688685,04/Apr/2024,"Barker Drive, NW1 0JF","Payment for booking #70688685",£123.74,Free,£123.74
68827529,03/Apr/2024,"Barker Drive, NW1 0JF","Payment for booking #68827529",£154.68,Free,£154.68
71631181,25/Apr/2024,"Barker Drive, NW1 0JF","Payment for booking #71631181",£12.01,Free,£12.01
71503020,23/Apr/2024,"Barker Drive, NW1 0JF","Payment for booking #71503020",£36.04,Free,£36.04
71505610,23/Apr/2024,"Barker Drive, NW1 0JF","Payment for booking #71505610",£24.03,Free,£24.03
71459189,21/Apr/2024,"Barker Drive, NW1 0JF","Payment for booking #71459189",£12.01,Free,£12.01
71201806,15/Apr/2024,"Barker Drive, NW1 0JF","Payment for booking #71201806",£13.23,Free,£13.23
71151740,15/Apr/2024,"Barker Drive, NW1 0JF","Payment for booking #71151740",-£51.51,Free,-£51.51
71161431,14/Apr/2024,"Barker Drive, NW1 0JF","Payment for booking #71161431",£51.51,Free,£51.51
71151740,14/Apr/2024,"Barker Drive, NW1 0JF","Payment for booking #71151740",£51.51,Free,£51.51
71084907,12/Apr/2024,"Barker Drive, NW1 0JF","Payment for booking #71084907",£13.23,Free,£13.23
71027640,11/Apr/2024,"Barker Drive, NW1 0JF","Payment for booking #71027640",£13.23,Free,£13.23
70975673,10/Apr/2024,"Barker Drive, NW1 0JF","Payment for booking #70975673",£13.23,Free,£13.23
70929389,09/Apr/2024,"Barker Drive, NW1 0JF","Payment for booking #70929389",£13.24,Free,£13.24
70925564,09/Apr/2024,"Barker Drive, NW1 0JF","Payment for booking #70925564",£13.23,Free,£13.23
70873333,08/Apr/2024,"Barker Drive, NW1 0JF","Payment for booking #70873333",£13.24,Free,£13.24
70834098,07/Apr/2024,"Barker Drive, NW1 0JF","Payment for booking #70834098",£13.24,Free,£13.24
70689004,04/Apr/2024,"Barker Drive, NW1 0JF","Payment for booking #70689004",-£15.04,Free,-£15.04
70689004,04/Apr/2024,"Barker Drive, NW1 0JF","Payment for booking #70689004",£15.04,Free,£15.04
70687074,04/Apr/2024,"Barker Drive, NW1 0JF","Payment for booking #70687074",£15.04,Free,£15.04
70636423,03/Apr/2024,"Barker Drive, NW1 0JF","Payment for booking #70636423",£15.04,Free,£15.04
70584864,02/Apr/2024,"Barker Drive, NW1 0JF","Payment for booking #70584864",£11.80,Free,£11.80
70584776,02/Apr/2024,"Barker Drive, NW1 0JF","Payment for booking #70584776",£11.80,Free,£11.80
68827948,26/Feb/2024,"Barker Drive, NW1 0JF","Payment for booking #68827948",£154.68,Free,£154.68
